iter	MAE
405	0.2330042021
406	0.2324925281
407	0.2322686894
408	0.2319480381
409	0.2314212482
410	0.2310494863
411	0.2307746724
412	0.2304066233
413	0.230073942
414	0.2299669185
415	0.22943418
416	0.2291776874
417	0.2288162979
418	0.228216758
419	0.2271558621
420	0.2267170338
421	0.2252482628
422	0.2250814544
423	0.2248490357
424	0.2244803439
425	0.2243501562
426	0.22419583
427	0.2240955992
428	0.22259807
429	0.2220858818
430	0.222014901
431	0.2212351399
432	0.2202913866
433	0.2202004921
434	0.22002336
435	0.219927714
436	0.2198220262
437	0.2196816213
438	0.2194537539
439	0.2190549644
440	0.2188230791
441	0.2179587344
442	0.2175037037
443	0.2173089192
444	0.217021619
445	0.2162193359
446	0.2156072732
447	0.215508195
448	0.2153375611
449	0.2150578812
450	0.2142830015
451	0.2141447138
452	0.2140880556
453	0.2138710264
454	0.2137220773
455	0.2136231477
456	0.2133868451
457	0.2131884148
458	0.2128047493
459	0.2126250496
460	0.2120603212
461	0.210176498
462	0.2097936667
463	0.2094204566
464	0.2093639436
465	0.2082271911
466	0.2078247304
467	0.207726862
468	0.2071408963
469	0.2067024183
470	0.2064807899
471	0.206263115
472	0.2055284209
473	0.2054189453
474	0.2050610007
475	0.2047342299
476	0.2046834663
477	0.2046260871
478	0.2045567217
479	0.2042251422
480	0.2039950239
481	0.2038990924
482	0.2034894594
483	0.2032728178
484	0.2030353399
485	0.2028878529
486	0.2028050614
487	0.2025031566
488	0.2018868781
489	0.2017196548
490	0.2015171137
491	0.2014112332
492	0.2010408454
493	0.2004775923
494	0.1997238082
495	0.1995484495
496	0.1994659113
497	0.1993251332
498	0.1992604708
499	0.1991855704
500	0.1989908636
501	0.1989452796
502	0.1988909942
503	0.1984123097
504	0.1983095461
505	0.1978174016
506	0.1976182965
507	0.1971832355
508	0.1971043706
509	0.1970173032
510	0.1969634614
511	0.1969029863
512	0.1968379783
513	0.1967397987
514	0.1958371807
515	0.1956075452
516	0.195381537
517	0.1952011631
518	0.1928045711
519	0.19271942
520	0.1926185392
521	0.1922423474
522	0.1920733654
523	0.1920158522
